feature	normal_patient8	tumor_patient8	normal_patient15	tumor_patient15	normal_patient16	tumor_patient16	normal_patient32	tumor_patient32	normal_patient41	tumor_patient41	normal_patient42	tumor_patient42	normal_patient50	tumor_patient50	normal_patient51	tumor_patient51	normal_patient54	tumor_patient54	normal_patient60	tumor_patient60
AADACL3	15	2	14	5	6	2	0	0	0	0	0	0	1	0	0	0	1	1	18	0
AADACL4	4	2	4	5	4	0	0	1	6	0	2	0	1	0	7	0	0	2	4	0
ABCA4	33	19	20	15	25	46	2	1	17	2	1	0	13	6	40	1	10	7	29	3
ABCB10	306	656	136	459	128	936	833	1258	615	932	487	1165	1004	1804	757	1395	841	732	260	1220
ABCD3	931	1827	507	783	193	1469	3983	1444	865	3236	870	956	5408	3029	1689	1937	5221	4338	661	3973
ABL2	691	1136	266	408	268	1527	480	1007	939	735	389	2420	1354	2088	2396	1399	962	1283	527	1676
ACADM	426	681	237	1017	104	716	3133	705	1256	1483	992	446	2171	942	1538	417	2162	1635	336	794
ACAP3	233	341	254	103	440	222	704	1992	866	686	1311	434	759	779	1007	586	550	494	336	651
ACBD3	566	1767	233	1099	246	1821	1824	2397	1111	2274	756	1951	2485	2919	1745	3151	2234	2144	555	2203
ACBD6	159	319	98	224	139	656	272	774	473	521	772	1086	539	1394	714	953	404	346	160	601
ACOT11	540	361	515	259	731	467	1566	848	160	873	165	205	1993	1241	445	1497	2295	1772	469	1541
ACOT7	178	163	76	57	69	393	1079	1197	506	869	286	1985	676	663	144	652	639	492	140	551
ACP6	74	191	86	205	90	485	162	494	274	413	366	585	281	781	209	490	264	194	74	295
ACTA1	255	854	174	360	175	1043	2324	1503	6662	1688	10329	2431	710	573	1474	859	311	267	340	424
ACTG1P4	222	518	136	247	174	577	1368	751	1660	1007	2308	1345	145	120	54	97	106	78	29	56
ACTL8	7	1	6	6	10	7	8	3	1	25	6	5273	3	22	0	29	11	16	6	4
ACTN2	21	21	25	36	20	36	38	22	55	24	46	60	2	3	5	1	3	3	20	1
ACTRT2	5	0	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ADAM15	406	1339	252	923	211	1663	1636	4782	1037	2646	793	2271	2728	3338	1175	3621	1792	1693	483	3024
ADAM30	9	2	8	5	6	2	0	0	0	0	0	0	0	0	0	0	1	1	14	0
ADAMTS4	69	62	48	51	95	101	178	143	245	162	78	199	701	173	4105	471	55	94	107	163
ADAMTSL4	221	73	90	32	147	98	152	234	880	87	549	298	769	181	893	126	209	256	308	131
ADAR	2244	4875	1021	2473	924	6493	6827	7899	5386	6897	3955	11851	9805	10438	6719	8035	6562	5587	2740	7832
ADC	78	10	57	88	112	50	212	25	95	187	79	165	117	47	60	20	89	71	37	35
ADCK3	358	523	235	760	231	1429	1077	2790	1903	1798	2589	1050	1574	3075	2650	1497	1949	1463	412	1169
ADCY10	21	19	14	30	18	13	7	7	1	0	1	0	17	44	12	15	21	19	30	17
ADIPOR1	332	1201	151	1058	124	1686	2141	4428	1173	2979	1460	5686	2098	3051	1175	2325	1856	1671	444	2113
ADORA1	17	6	12	20	16	8	10	9	19	17	6	217	39	17	8	10	14	19	14	13
ADORA3	27	9	11	16	8	15	68	11	124	92	24	32	274	113	119	30	193	120	31	8
ADPRHL2	97	259	41	223	46	256	578	681	425	732	729	760	563	478	435	343	375	369	140	423
ADSS	388	940	151	902	148	2061	1481	2618	989	2232	791	2225	1747	2387	1083	1345	1436	1317	366	1672
AGBL4	14	88	8	15	9	8	5	9	10	56	3	0	5	5	8	1	4	4	16	28
AGL	747	1308	322	338	248	1167	1345	816	1702	1321	1195	479	2648	1331	3854	839	2516	1991	827	1786
AGMAT	350	404	162	184	125	1033	917	963	31	1218	23	382	1154	1516	28	2865	527	409	138	1454
AGRN	371	2066	390	1125	497	1688	2017	6534	940	4837	1015	5236	1897	3436	1503	2214	1533	1305	1058	4987
AGT	31	24	14	72	12	191	116	373	57	556	22	235	147	381	16	677	77	30	32	278
AGTRAP	48	130	15	72	13	187	254	671	334	620	333	927	295	510	278	639	169	135	67	343
